Company Name,Slogan,Amount Raised,Year,Stage,Business Model,Image URL,Full Description,PDF URL,Investors,About,Industry,Tags,Customer Model,Website,Legal Name,Type
Oloid,OLOID empowers organizations to maximize efficiency and productivity through automated workflows while ensuring robust security measures are in place. Oloid raised $20M in 2022 with this deck.,$20M,2022,Series A,B2B,https://logo.clearbit.com/oloid.ai,"""OLOID offers seamless integration with HR, IT, Safety, and SSO systems, facilitating smooth connectivity across diverse departments. Leveraging the capabilities of """"if-this-then-that"""" automation software, OLOID provides a user-friendly drag-and-drop interface to establish rules that automate security, safety, and business operations. This forward-thinking approach empowers organizations to boost efficiency and productivity by automating repetitive tasks, all while upholding stringent security measures. With OLOID, businesses can optimize their workflows, improve operational effectiveness, and achieve greater success.""",https://drive.google.com/file/d/12c0Tppm8GSUicTsF0u9bcsamB4g7UJiv/preview?embedded=true,,OLOID empowers organizations to maximize efficiency and productivity through automated workflows while ensuring robust security measures are in place.,Software,Enterprise software,,oloid.ai,Oloid,ST
Empowerly,"Amidst the dynamic advancements of technology, Empowerly stands out as a resilient online platform, primed for exceptional growth. Empowerly raised $10M in 2022 with this deck.",$10M,2022,Seed,B2C,https://logo.clearbit.com/www.empowerly.com,"Empowerly's virtual community thrives, fuelled by the endorsements of loyal and content customers. With a current focus on delivering quality service in the San Francisco Bay Area, the company is gearing up to broaden its reach and expand into other regions this year. As an online platform emerging in a rapidly advancing technological landscape, Empowerly possesses tremendous potential for exponential growth.",https://drive.google.com/file/d/1-vp-YQTfkEC3FMBWZvuFLzp1q4E1V0Ke/preview?embedded=true,,"Amidst the dynamic advancements of technology, Empowerly stands out as a resilient online platform, primed for exceptional growth.",EdTech,Education,,www.empowerly.com,Empowerly,ST
Fintern,"Fintern transforms lending by leveraging overlooked live transaction data, making affordable loans accessible to a broader audience. Fintern raised $11M in 2022 with this deck.",$11M,2022,Series A,B2B2C,https://logo.clearbit.com/www.fintern.ai,"Fintern, a consumer lender operating in the UK, provides personal loans ranging from Â£1,000 to Â£10,000. The minimum loan duration is one year, starting from the loan issuance date. For loans below Â£5,000, the maximum duration allowed is three years, while loans exceeding Â£5,000 can have a maximum duration of five years. We offer representative 24.8% APR on loans, with a maximum APR of 25.8%. Fintern stands apart as a unique lender, committed to expanding access to affordable, equitable, and flexible loans across the UK. Our lending approach differs from traditional lenders as we leverage your live transaction data, often overlooked by conventional institutions, enabling us to provide cost-effective loans to a wider range of individuals.",https://drive.google.com/file/d/1oxjWAPP_8nueWERU2UIQP9JSN4B_HZb2/preview?embedded=true,,"Fintern transforms lending by leveraging overlooked live transaction data, making affordable loans accessible to a broader audience.",FinTech,Fintech,,www.fintern.ai,Fintern,ST
Seyna,Seyna is run by a well-rounded team with both industry experience and entrepreneurial skills in scaling companies to exit. Seyna raised $37M in 2022 with this deck.,$37M,2022,Series A,B2B,https://logo.clearbit.com/www.seyna.com,"Seyna revolutionizes insurance with its state-of-the-art platform, streamlining the process of creating, managing, and distributing insurance products. Leveraging advanced technology, the company offers customized insurance solutions across various sectors, including non-life categories. With its intuitive interface, this platform grants customers effortless access to personalized insurance products, ensuring a smooth and convenient insurance experience.",https://drive.google.com/file/d/1cDlMTBjGhVXARF7pxI6MOeCOaGH8JKZS/preview?embedded=true,,Seyna is run by a well-rounded team with both industry experience and entrepreneurial skills in scaling companies to exit.,Software,Enterprise software,,www.seyna.com,Seyna,ST
Sharpist,"With their solution, you empower your employees, attract & retain talent, and help your teams learn essential business & productivity skills. Sharpist raised $23M in 2022 with this deck.",$23M,2022,Series A,B2B,https://logo.clearbit.com/www.sharpist.com,"Sharpist is a learning & development startup providing an enterprise platform. With their solution, you empower your employees, attract & retain talent, and help your teams learn essential business & productivity skills. They make this possible through an app that connects you with your coach in real-time for a learning session on a topic of your interest. Itâs a practical and agile solution that supports the professional and personal growth of employees to help decrease turnover while boosting morale and dedication.",https://drive.google.com/file/d/16WO94LwOWp5ApeKZYvB5bT1IRjDeK9QT/preview?embedded=true,,"With their solution, you empower your employees, attract & retain talent, and help your teams learn essential business & productivity skills.",Software,Enterprise software,,www.sharpist.com,Sharpist,ST
Fluence,Fluence emerged as a new company that embodies the collaboration of two prominent industry leaders and trailblazers in energy storage. Fluence raised $3M in 2022 with this deck.,$3M,2022,Seed,B2B2C,https://logo.clearbit.com/www.fluence.ai,"Fluence stands as the outcome of a powerful union between two esteemed industry leaders and pioneers in the realm of energy storage. United by a common vision to propel the advancement of modern electric infrastructure, Fluence not only symbolizes this collaboration but also embodies it in every aspect. With an unwavering dedication to pushing boundaries, Fluence leads the way in pioneering groundbreaking solutions and spearheading progress within the industry.",https://drive.google.com/file/d/17fzbjExG8fV9lG6zeCZwJdtCLURc-VaU/preview?embedded=true,,Fluence emerged as a new company that embodies the collaboration of two prominent industry leaders and trailblazers in energy storage.,Healthcare,Healthcare,,www.fluence.ai,Fluence,ST
LEX Markets,"Lex Markets operates as a specialized marketplace for commercial real estate securities, facilitating the process of taking commercial buildings public through single-asset IPOs. LEX Markets raised $15M in 2022 with this deck.",$15M,2022,Series A,B2B2C,https://logo.clearbit.com/lex-markets.com,"LEX is a new way to invest in real estate. LEX turns individual buildings into public stocks. Any U.S. investor can open a LEX account, browse opportunities in various asset classes such as multifamily and office buildings, and buy shares of individual buildings. As a shareholder, investors earn income when owners pay dividends and can trade their shares on our public market without lockups or hold periods. Each building on LEX has a ticker symbol and stock chart. LEX opens up direct and tax advantaged ownership in an asset class that has previously been inaccessible to most investors.",https://drive.google.com/file/d/1X_Tdmj9itddYk_ueKoNyZBHB87D5-K1A/preview?embedded=true,,"Lex Markets operates as a specialized marketplace for commercial real estate securities, facilitating the process of taking commercial buildings public through single-asset IPOs.",FinTech,Fintech,,lex-markets.com,LEX Markets,ST
PlayPlay,"PlayPlay empowers teams to create videos end to end, collaboratively and efficiently. PlayPlay raised $55M in 2022 with this deck.",$55M,2022,Series B,B2B,https://logo.clearbit.com/www.playplay.com,"PlayPlay is the video creation platform that enables marketing and communication teams to turn their messages into memorable videos. With a simple-to-use platform that guarantees high-quality video output, PlayPlay is the solution for companies that want to make their communication more impactful. Moreover, PlayPlay empowers teams to create videos end to end, collaboratively and efficiently. And they can even have fun doing it.",https://drive.google.com/file/d/1IB8r3BF_cKt3pVNYaJcaAnEehFIHtlcL/preview?embedded=true,,"PlayPlay empowers teams to create videos end to end, collaboratively and efficiently. And they can even have fun doing it.",Software,Enterprise software,,www.playplay.com,PlayPlay,ST
Axelar,"Axelar connects dozens of chains today, and is built to connect thousands – with secure communication and Turing-complete composability. Axelar raised $25M in 2022 with this deck.",$25M,2022,Series B,B2B,https://logo.clearbit.com/axelar.network,"Experience a paradigm shift in dApp user experiences with Axelar's cutting-edge infrastructure. Our seamless platform enables users to effortlessly interact with any asset or application across multiple blockchain networks, all with a single click. By bridging the gap between different chains, Axelar empowers users to access and engage with a diverse range of assets and applications, unlocking the full potential of blockchain technology. Seamlessly navigate the decentralized landscape and embrace the future of blockchain with Axelar.",https://drive.google.com/file/d/1gALVlDR5twLFwshAYx1OEE2lsfQVxr4t/preview?embedded=true,,"Axelar connects dozens of chains today, and is built to connect thousands â with secure communication and Turing-complete composability.",Software,Data management,,axelar.network,Axelar,ST
Liefergrün,The company's services link sustainable delivery fleets to local retailers and restaurants through software. Liefergrün raised $3.4M in 2022 with this deck.,$3.4M,2022,Seed,B2B,https://logo.clearbit.com/,LiefergrÃ¼n is a provider of last-mile delivery services that facilitate eco-friendly deliveries from local stores to end customers. The company's services link sustainable delivery fleets to local retailers and restaurants through software. This results in the delivery of packed goods from the shop to customers' homes using sustainable delivery methods and intelligent algorithms. LiefergrÃ¼n empowers retailers to meet customers' delivery preferences within specified time frames.,https://drive.google.com/file/d/1TvD4V3C_7K1r4gdNchzT5zXcm7QfbpAF/preview?embedded=true,,The company's services link sustainable delivery fleets to local retailers and restaurants through software.,Software,Enterprise software,,,LiefergrÃ¼n,ST
Ageras Group,"Ageras Group, a burgeoning startup that facilitates a marketplace linking businesses with accountants, has successfully secured a substantial $34 million in new capital. Ageras Group raised $34M in 2022 with this deck.",$34M,2022,Venture,B2B2C,https://logo.clearbit.com/www.agerasgroup.com,"Ageras Group, a burgeoning startup that facilitates a marketplace linking businesses with accountants, has successfully secured a substantial $34 million in new capital. Established in 2012 as a Danish fintech, Ageras initially relied on internal funding for its initial five years. The platform specializes in matching small and medium-sized enterprises (SMEs) with suitable accountants, catering to their specific requirements.",https://drive.google.com/file/d/1xPBz5CMvGd_PW8UHPZhucYkzSqI5yTc0/preview?embedded=true,,"Ageras Group, a burgeoning startup that facilitates a marketplace linking businesses with accountants, has successfully secured a substantial $34 million in new capital.",FinTech,Fintech,,www.agerasgroup.com,Ageras Group,ST
Bramble Energy,Bramble Energy is actively driving the transition towards a Net Zero carbon future by harnessing the power of current technology. Bramble Energy raised $47M in 2022 with this deck.,$47M,2022,Series B,B2C,https://logo.clearbit.com/www.brambleenergy.com,"Bramble Energy is actively spearheading the realization of a Net Zero carbon future through the utilization of today's advanced technology. In a world where rhetoric often surpasses action, Bramble Energy stands out by offering an effective solution to integrate and distribute diverse forms of renewable energy technologies, thereby empowering the Hydrogen Economy in a cost-effective manner. Their innovative approach paves the way for achieving a Net Zero world swiftly and decisively, enabling us to make significant progress in combating climate change starting from today.",https://drive.google.com/file/d/1Kp9LvTbHcxXRLZvN6STRqmHFWPvfZZfr/preview?embedded=true,,Bramble Energy is actively driving the transition towards a Net Zero carbon future by harnessing the power of current technology.,Hardware,Hardware,,www.brambleenergy.com,Bramble Energy,ST
PrimaryBid,PrimaryBid is an online investment platform that enables private investors to participate in new share placements by listed companies. PrimaryBid raised $50M in 2020 with this deck.,$50M,2020,Series C,B2B2C,https://logo.clearbit.com/www.primarybid.com,"PrimaryBid is a cutting-edge online investment platform that provides a unique opportunity for private investors to actively participate in new share placements offered by listed companies. The platform seamlessly automates the process of consolidating retail demand, effectively connecting a vast pool of active investors with companies seeking capital. With the convenience of their user-friendly website and mobile application, PrimaryBid empowers businesses across the Eurozone to offer investors exclusive access to discounted share issuances. By bridging the gap between investors and companies, PrimaryBid revolutionizes the investment landscape and fosters mutually beneficial relationships in the financial market.",https://drive.google.com/file/d/1yCMct71Isk8XcCswUJnmtiMdfDbwVpjC/preview?embedded=true,,PrimaryBid is an online investment platform that enables private investors to participate in new share placements by listed companies.,FinTech,Fintech,,www.primarybid.com,PrimaryBid,ST
Beem,Beem is the ultimate communication and productivity app for both personal and business use. Beem raised $4M in 2022 with this deck.,$4M,2022,Seed,B2B,https://logo.clearbit.com/beem.co,"For business users, Beem becomes an indispensable tool for effective collaboration and organization management. It supports meetings with a capacity of up to 150 participants, ensuring smooth and efficient communication. With full office capabilities, including document collaborations, synchronized calendar, and to-do task management, Beem empowers teams to collaborate seamlessly and stay organized.",https://drive.google.com/file/d/1KeOibXpnNd4oNfTI03eZnAGXvDjBvPLe/preview?embedded=true,,Beem is the ultimate communication and productivity app for both personal and business use.,Software,Enterprise software,,beem.co,Beem,ST
Otovo,"Otovo engaged in development, commercialization and installation of renewable power, taking ownership or providing business advice related to it. Otovo raised $30M in 2022 with this deck.",$30M,2022,Venture,B2B,https://logo.clearbit.com/www.otovo.no,"Otovo ASA is an energy company. It is engaged in development, commercialization and installation of renewable power, as well as taking ownership or providing business advice related to it. The Group's operating segments are Direct Purchase and Subscription. The Direct Purchase segment consists of transactions relating to sale of solar panels and related products, while the Subscription segment consists of transactions related to customers subscribing to use solar panels and related products.",https://drive.google.com/file/d/1vA4Zoohg9We01Fla1OkEMYt-pjFb4MkC/preview?embedded=true,,"Otovo engaged in development, commercialization and installation of renewable power, taking ownership or providing business advice related to it.",Software,Enterprise software,,www.otovo.no,Otovo,ST
KOS,"By providing customers with these consciously selected ingredients, KOS empowers individuals to elevate their wellness and enhance their quality of life. KOS raised $12M in 2022 with this deck.",$12M,2022,Series A,B2C,https://logo.clearbit.com/kos.io,"KOS stands as a trailblazing producer of plant-based protein and functional ingredients, dedicated to nurturing a simple and healthy lifestyle. Driven by a commitment to promoting overall well-being, the company offers a wide array of products, including protein powder and chewable supplements. Every product is thoughtfully crafted, drawing from transparent and wholesome ingredients sourced directly from nature's bountiful soil. By providing customers with these consciously selected ingredients, KOS empowers individuals to elevate their wellness and enhance their quality of life. With a steadfast focus on catering to the needs of the conscious consumer, KOS delivers a trusted and sustainable solution for those seeking to optimize their health and well-being in every aspect.",https://drive.google.com/file/d/1_8Rl138j20Md9xn5LMFaW6Wb8X_QzFBh/preview?embedded=true,,"By providing customers with these consciously selected ingredients, KOS empowers individuals to elevate their wellness and enhance their quality of life.",Retail,Retail,,kos.io,KOS,ST
Giddy,"Giddy, a mobile app driving DeFi adoption, has revealed its successful seed funding round, raising an impressive $8 million. Giddy raised $8M in 2022 with this deck.",$8M,2022,Seed,B2B2C,https://logo.clearbit.com/www.getgiddy.com,"Giddy, a mobile application aiming to foster widespread adoption of decentralized finance (DeFi), has recently unveiled its successful seed funding round, amassing an impressive $8 million. The funding was spearheaded by Pelion Venture Partners, with the esteemed participation of notable figures such as Blake Murray, the founder and CEO of Divvy, Derek White, the CEO of Galileo, Jeremy Andrus, the CEO of Traeger, Scott Paul, an angel investor, Shaun Neff, renowned Brand Whisperer, and Brandon Fugal, a prominent real estate tycoon and owner of Skinwalker Ranch.",https://drive.google.com/file/d/1Y6vd2UANYXjVLwkfgi6vzSs8yC4F40KI/preview?embedded=true,,"Giddy, a mobile app driving DeFi adoption, has revealed its successful seed funding round, raising an impressive $8 million.",FinTech,Fintech,,www.getgiddy.com,Giddy,ST
Canela Media,Canela Media caters to multicultural audiences with a complete ecosystem that includes a free streaming service for on-demand Latino movies and TV. Canela Media raised $32M in 2022 with this deck.,$32M,2022,Series A,B2C,https://logo.clearbit.com/www.canela.tv,"Canela Media Provider of digital media services intended to represent the ad inventory of Spanish content in the USA. The company's services include a complete ecosystem to connect with multicultural audiences leading with its free streaming service, on-demand Latino-focused movies, and TV entertainment through multiple platforms, enabling customers to get in-depth knowledge and understanding of how to establish meaningful and culturally relevant connections with the new mainstream.",https://drive.google.com/file/d/183cfgrB66X19vw3hIGHSYUYn0rbatSc1/preview?embedded=true,,Canela Media caters to multicultural audiences with a complete ecosystem that includes a free streaming service for on-demand Latino movies and TV.,Media,Media,,www.canela.tv,Canela Media,ST
Cansativa,"Cansativa's platform handles the entire cannabis value chain, managing import, distribution, and associated logistics, all under an exclusive agreement with Germany's regulatory authorities. Cansativa raised $15M in 2022 with this deck.",$15M,2022,Series B,B2C,https://logo.clearbit.com/www.cansativa.com,"Cansativa Distributor of medical cannabis intended to distribute cannabis products from domestic cultivation to various doctors and pharmacies. The company's platform manages every stage of the cannabis value chain from import to distribution and related logistics through an exclusive agreement with Germany's regulatory body to distribute domestically-grown medical cannabis, helping companies to serve thousands of pharmacies across the country.",https://drive.google.com/file/d/16rlKck5lSeRad9PiCvcEeTIOvq2wpFOv/preview?embedded=true,,"Cansativa's platform handles the entire cannabis value chain, managing import, distribution, and associated logistics, all under an exclusive agreement with Germany's regulatory authorities.",Cannabis,Cannabis,,www.cansativa.com,Cansativa,ST
Morty,"With Morty, customers can conveniently access mortgage options from reputable lenders, all within the user-friendly online platform. Morty raised $36.5M in 2022 with this deck.",$36.5M,2022,Series B,B2B,https://logo.clearbit.com/www.himorty.com,"Morty provides mortgages to customers through their digitally native platform, which is backed by the industry's largest lenders. By partnering with Morty, digitally native product and service providers can leverage Morty's leads API to offer loan quotes and refer their customers to Morty. This collaboration allows customers to conveniently access mortgage options from reputable lenders, all within the user-friendly online platform provided by Morty.",https://drive.google.com/file/d/10AkD4d7ud4qSc3fIp4R2gyG_iyqzplb2/preview?embedded=true,,"With Morty, customers can conveniently access mortgage options from reputable lenders, all within the user-friendly online platform.",PropTech,Real estate,,www.himorty.com,Morty,ST
AnyRoad,"Anyroad is a cloud-based platform that seamlessly integrates with CRM, loyalty, ERP, and POS systems. AnyRoad raised $47M in 2022 with this deck.",$47M,2022,Series B,B2B,https://logo.clearbit.com/www.anyroad.com,"Anyroad Developer of an experience relationship management platform designed to optimize the effectiveness of offline branded experiences. The company's cloud-based platform integrates into CRM, loyalty, ERP, and POS systems to determine how experiences build loyalty, increase brand perception and increase revenue, enabling global brands to properly measure, scale, and implement their experiential marketing campaigns.",https://drive.google.com/file/d/1SZ07ccy_jsi_Ua6XGGRwX4besQKDfOu2/preview?embedded=true,,"Anyroad is a cloud-based platform that seamlessly integrates with CRM, loyalty, ERP, and POS systems.",Software,Enterprise software,,www.anyroad.com,AnyRoad,ST
Good Loop,Good-Loop has developed an advertising platform that innovatively converts ad expenditures into charitable donations. Good Loop raised $6M in 2022 with this deck.,$6M,2022,Series A,B2B,https://logo.clearbit.com/,"Good-Loop has developed an advertising platform that innovatively converts ad expenditures into charitable donations. Within this framework, personalized ads are shown, and when viewed, 50 percent of the resulting revenue is directed to a selected charity. This not only provides customers with a positive encounter but also a chance to endorse a charity of their preference.",https://drive.google.com/file/d/1FaCvvs7HvCViXdtBdixGAqzJBH3XYgQ1/preview?embedded=true,,Good-Loop has developed an advertising platform that innovatively converts ad expenditures into charitable donations.,Marketing,Advertising,,,Good Loop,ST
Counterpart,Counterpart offers management & professional liability insurance products and services that help small businesses grow with confidence. Counterpart raised $30M in 2022 with this deck.,$30M,2022,Series B,B2B,https://logo.clearbit.com/www.counterpart.com,"At Counterpart, we wholeheartedly believe in the immense potential of small businesses and are deeply committed to aiding them in achieving greater heights while minimizing risks. Our unwavering dedication lies in empowering these enterprises to accomplish more with reduced exposure to potential liabilities. To accomplish this mission, we have assembled a team of highly knowledgeable insurance experts who are adept at navigating the complexities of the industry.",https://drive.google.com/file/d/16VTcEUBXKIdNJ3rG3R6OMdLEHpYqN90j/preview?embedded=true,,Counterpart offers management & professional liability insurance products and services that help small businesses grow with confidence.,Software,Enterprise software,,www.counterpart.com,Counterpart,ST
HearHere,"HearHere provides informative tidbits about users' surroundings while driving, with three- to five-minute segments, including undiscovered points of interest, upon consent. HearHere raised $3.2M in 2022 with this deck.",$3.2M,2022,Seed,B2C,https://logo.clearbit.com/hearhere.com,"HearHere, the creator of an audio entertainment and immersive storytelling app for road trips, has secured $3.2 million in seed funding, with leading investment from Camping World, an RV and outdoor retailer. The app's primary goal is to facilitate profound connections and insights into the locations and histories of the land that users traverse during their road journeys. With user consent, HearHere delivers informative nuggets of information in three- to five-minute segments, enlightening them about their surroundings and highlighting points of interest they may have otherwise overlooked.",https://drive.google.com/file/d/1nrT172Pk6z7__64O7hBjmHL4zYlSFge6/preview?embedded=true,,"HearHere provides informative tidbits about users' surroundings while driving, with three- to five-minute segments, including undiscovered points of interest, upon consent.",Media,Media,,hearhere.com,HearHere,ST
Legal.io,Legal. Legal.io raised $11.6M in 2022 with this deck.,$11.6M,2022,Series A,B2B,https://logo.clearbit.com/www.legal.io,"Legal.io is a leading developer of a legal technology platform and protocols aimed at expanding global legal access. Their platform streamlines the delivery of legal services, coordinates networks of lawyers and professionals, establishes service standards, and manages intake, referrals, and outcome measurement. By generating comprehensive reports based on user data, legal service organizations can optimize their services, enhance satisfaction, increase conversion rates, maximize impact, and boost revenues.",https://drive.google.com/file/d/13b2pU68w1JBht-YsrO7dFVQJ7P0pl7YJ/preview?embedded=true,,Legal.io is a leading developer of a legal technology platform and protocols aimed at expanding global legal access.,Software,Enterprise software,,www.legal.io,Legal.io,ST
Convelio,"Convelio, a leading provider of artwork logistics services, excels in the secure transportation of valuable artworks. Convelio raised $35M in 2022 with this deck.",$35M,2022,Series B,B2B,https://logo.clearbit.com/www.convelio.com,"Convelio the artwork logistics services provider specializes in securely shipping artwork, taking into account crucial factors such as fragility, dimensions, and value. Their services encompass the assembly of a tailored logistics chain for each artwork, ensuring safe transportation. By offering online booking and tracking services, the company facilitates smoother, transparent, and secure shipments for galleries, auction houses, interior designers, and collectors alike.",https://drive.google.com/file/d/1JtgskIKdZFlM_4qL_56KSHW5232NEYWc/preview?embedded=true,,"Convelio, a leading provider of artwork logistics services, excels in the secure transportation of valuable artworks.",Software,Enterprise software,,www.convelio.com,Convelio,ST
The Smart Tire Company,"They effortlessly expand, contract, bend, and unbend under heavy loads, retaining their shape while moving substantial objects. The Smart Tire Company raised $1.3M in 2022 with this deck.",$1.3M,2022,Venture,B2C,https://logo.clearbit.com/www.thesmarttirecompany.com,"The smart tire company is at the forefront of advancing airless tire technology with a focus on transforming the future of space exploration. These innovative tires are crafted from a remarkable shape memory alloy, granting them unparalleled elasticity and durability. They can effortlessly expand, contract, bend, and unbend, even when subjected to heavy loads, making them capable of moving substantial objects while retaining their shape. This groundbreaking technology paves the way for optimizing tire performance in diverse transportation sectors and unlocking new possibilities for commercial applications on Earth.",https://drive.google.com/file/d/1RyIZYiY-hROVkmRGoGwHDPXjnaQyau5X/preview?embedded=true,,"They effortlessly expand, contract, bend, and unbend under heavy loads, retaining their shape while moving substantial objects.",Retail,Retail,,www.thesmarttirecompany.com,The Smart Tire Company,ST
Circular,Circular offers talented tech candidates the roles they’re looking for at some of the world’s most progressive and rapidly growing tech companies. Circular raised $7.5M in 2022 with this deck.,$7.5M,2022,Series A,B2B,https://logo.clearbit.com/www.circular.io,"Circular is a game-changing platform that connects talented tech candidates with the roles they aspire to at some of the most forward-thinking and rapidly expanding tech companies across the globe. We understand that finding the right opportunity can be challenging, which is why Circular is here to simplify the job search process and provide candidates with unparalleled access to exciting career prospects.",https://drive.google.com/file/d/1dv1SH0tTQ1GaMJUuT6vnDpgOO7Bdc5e5/preview?embedded=true,,Circular offers talented tech candidates the roles theyâre looking for at some of the worldâs most progressive and rapidly growing tech companies.,Software,Enterprise software,,www.circular.io,Circular,ST
Time by Ping,Time by Ping is a developer of a timekeeping software platform exclusively tailored for tracking lawyers' activities. Time by Ping raised $36.5M in 2022 with this deck.,$36.5M,2022,Series B,B2B,https://logo.clearbit.com/www.timebyping.com,"Time by Ping is a developer of a timekeeping software platform exclusively tailored for tracking lawyers' activities. Leveraging artificial intelligence, the company's platform automatically generates comprehensive timesheets by capturing and analyzing accurate data, specifically focused on time spent on each legal matter. This enables lawyers and law firms to gain insights into time allocation and deliver more precise and structured time data.",https://drive.google.com/file/d/1ENVEBooF9RZI7jFyWFPIEpHdUrvEviba/preview?embedded=true,,Time by Ping is a developer of a timekeeping software platform exclusively tailored for tracking lawyers' activities.,Software,Enterprise software,,www.timebyping.com,Time by Ping,ST
Memo,"Memo software provides a centralized solution for managing critical aspects like payroll, benefits, devices, apps, and more. Memo raised $10M in 2022 with this deck.",$10M,2022,Series A,B2B,https://logo.clearbit.com/memo.co,"Memo is an all-encompassing employee management platform that simplifies HR operations and IT management for businesses. Their software provides a centralized solution for managing critical aspects like payroll, benefits, devices, apps, and more. With a notable revenue of $16.8 million in 2020 and a satisfied customer base of over 2,000 organizations, Memo empowers businesses to efficiently oversee their workforce and streamline essential functions for seamless operations.",https://drive.google.com/file/d/1mU3L7-YyZqrr-xEHIgavj85FQ2k4-0FB/preview?embedded=true,,"Memo software provides a centralized solution for managing critical aspects like payroll, benefits, devices, apps, and more.",Software,Enterprise software,,memo.co,Memo,ST
Mmob,"mmob empowers clients with exclusive user insights through its event-driven dashboard, enabling them to enhance conversion rates and seize revenue opportunities. Mmob raised $6.6M in 2022 with this deck.",$6.6M,2022,Seed,B2B2C,https://logo.clearbit.com/mmob.io,"mmob makes embedded finance easy through a self-service product that removes the barriers for businesses to create onward journeys. Service providers build user journeys using mmobâs proprietary no-code tool and share the journey with existing or new partners to be embedded within distribution channels. Distribution partners integrate one or more services into their channel within two hours, the fastest way to deploy complementary products. mmobâs product optimises data in new ways for the industry that improves existing processes and fosters further innovation. All clients gain access to unique user insights through mmobâs event-driven dashboard to drive conversion and unlock revenue.",https://drive.google.com/file/d/1r8qi5SdarogoY7NbFvzv-ddvNy1vdwdt/preview?embedded=true,,"mmob empowers clients with exclusive user insights through its event-driven dashboard, enabling them to enhance conversion rates and seize revenue opportunities.",FinTech,Fintech,,mmob.io,Mmob,ST
Ardoq,"The latest funding round has positioned Ardoq with a valuation surpassing $300 million, according to trustworthy sources. Ardoq raised $125M in 2022 with this deck.",$125M,2022,Series D,B2B,https://logo.clearbit.com/ardoq.com,"With the ongoing expansion of digital infrastructures within organizations, a novel class of enterprise software has surfaced to facilitate the management of this intricate process. Ardoq, a provider of enterprise architecture tools, empowers organizations to gain a comprehensive understanding of their digital networks, including real-time insights into project assignments, timelines, and locations. In a recent development, Ardoq has successfully concluded a Series D funding round, securing an impressive $125 million in investment. Reliable sources reveal that this funding round has positioned Ardoq's valuation at over $300 million, signaling the company's substantial growth and potential.",https://drive.google.com/file/d/1BrGwgWp_fubvbHP67h4xABsYvfX33NIv/preview?embedded=true,,"The latest funding round has positioned Ardoq with a valuation surpassing $300 million, according to trustworthy sources.",Software,Enterprise software,,ardoq.com,Ardoq,ST
Ibble,"Welcome to ibble, the ultimate destination for genuine conversations and deeper understanding. Ibble raised $12.7M in 2022 with this deck.",$12.7M,2022,Seed,B2C,https://logo.clearbit.com/www.ibble.ai,"Welcome to ibble, the ultimate destination for genuine conversations and deeper understanding. Here, you'll find a vibrant community where you truly belong. Join existing communities or create and nurture your own as you engage in meaningful dialogue.Connect with like-minded individuals who share your passions, and delve into a world of new topics, trends, and events that ignite your curiosity. Forge new friendships and invite your existing ones to be part of the conversation.",https://drive.google.com/file/d/15YYw_v9fQeLOwKFP4Ltq-VsJ3hJoBQTE/preview?embedded=true,,"Welcome to ibble, the ultimate destination for genuine conversations and deeper understanding.",Social Media,Social Media,,www.ibble.ai,Ibble,ST
Justpoint,Justpoint is an AI-powered platform that effectively pairs individuals with their ideal litigation attorney and equips them with essential tools. Justpoint raised $6.9M in 2020 with this deck.,$6.9M,2020,Seed,B2B,https://logo.clearbit.com/justpoint.ai,"Justpoint is an AI-powered platform that connects individuals with the appropriate litigation attorney and tools. By utilizing predictive analytics instead of traditional advertising methods, Justpoint brings transparency, simplicity, and credibility to the process of locating personal injury litigators. For attorneys, Justpoint streamlines back-office tasks and improves efficiency in the discovery process, enabling them to swiftly assess the validity of a claim and achieve optimal outcomes. With a network of over 1,000 law firms, access to more than 300,000 historical claims, and operations spanning 33 states, Justpoint's team of attorneys, engineers, and doctors is committed to enhancing access to justice.",https://drive.google.com/file/d/1TZ-wbBnlFZt0E77zqxzEBq05kt_9Sqii/preview?embedded=true,,Justpoint is an AI-powered platform that effectively pairs individuals with their ideal litigation attorney and equips them with essential tools.,Software,Enterprise software,,justpoint.ai,Justpoint,ST
Vira Health,Vira Health designs precise digital therapies aimed at targeting and alleviating menopause symptoms. Vira Health raised $12M in 2022 with this deck.,$12M,2022,Series A,B2B2C,https://logo.clearbit.com/,"Vira Health Developer of digital therapeutics designed to offer evidence-based interventions for menopause symptoms. The company's therapeutics help women manage symptoms such as insomnia, anxiety, depression, hot flushes, weight gain, and incontinence and also delay the onset of chronic conditions like osteoporosis, cardiovascular disease, and even dementia through personalized care and tailored treatments, enabling women to cope with the complexities of menopause.",https://drive.google.com/file/d/1N2egkWG-T2vE12b_Zsd7RL4OkyyeiXLr/preview?embedded=true,,Vira Health designs precise digital therapies aimed at targeting and alleviating menopause symptoms.,Healthcare,Healthcare,,,Vira Health,ST
